AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
Agost,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"38.902,92"
Agres,Alacant/Alicante,Comunitat Valenciana,Parcial,"679,46"
Aigües,Alacant/Alicante,Comunitat Valenciana,Parcial,"10.949,48"
Albatera,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Alcalalí,Alacant/Alicante,Comunitat Valenciana,Parcial,"23.999,64"
Alcocer de Planes,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"150,00"
Alcoleja,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"3.000,00"
ALCOY/ALCOI,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Alfafara,Alacant/Alicante,Comunitat Valenciana,Parcial,"5.645,00"
"Alfàs del Pi, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"16.489,00"
Algorfa,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.000,00"
Algueña,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
ALICANTE/ALACANT,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"73.564,76"
Almoradí,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Almudaina,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"150,00"
"Alqueria d'Asnar, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"4.299,50"
ALTEA,Alacant/Alicante,Comunitat Valenciana,Parcial,"40.004,67"
Aspe,Alacant/Alicante,Comunitat Valenciana,Parcial,"35.884,52"
"Atzúbia, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"9.000,00"
Balones,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"300,00"
Banyeres de Mariola,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"44.521,96"
Benasau,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Beneixama,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"30.450,00"
BENEJÚZAR,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"33.189,00"
Benferri,Alacant/Alicante,Comunitat Valenciana,Parcial,"4.825,80"
Beniarbeig,Alacant/Alicante,Comunitat Valenciana,Parcial,"11.016,00"
Beniardá,Alacant/Alicante,Comunitat Valenciana,Parcial,"19.600,00"
Beniarrés,Alacant/Alicante,Comunitat Valenciana,Parcial,"15.705,34"
Benidoleig,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"32.995,48"
Benidorm,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"67.013,94"
Benifallim,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Benifato,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Benigembla,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"160,00"
Benijófar,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"30.538,48"
Benilloba,Alacant/Alicante,Comunitat Valenciana,Parcial,"14.499,54"
