Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2024,7.5,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,02/04/2024,9.2,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2024,177.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2024,180.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2024,1.69,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,02/04/2024,0.1001,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2024,91.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2024,63.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2024,75.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,02/04/2024,2.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,02/04/2024,0.8,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2024,389.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,02/04/2024,1004.86,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2024,1009.4,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2024,61.9,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2024,9.74,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2024,15.14,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2024,13.55,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2024,14.1,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2024,12.48,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2024,21.6,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2024,-3.0,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,03/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2024,190.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,03/04/2024,180.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,03/04/2024,3.02,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,03/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,03/04/2024,3.5668,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,03/04/2024,85.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,03/04/2024,62.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,03/04/2024,73.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,03/04/2024,5.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,03/04/2024,28.2,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,03/04/2024,1297.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,03/04/2024,1010.7,1
