Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2023,-3.6,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,02/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2023,137.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2023,45.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2023,3.64,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2023,12.33,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,02/04/2023,10.9022,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2023,51.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2023,76.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,02/04/2023,86.6,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2023,2404.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,02/04/2023,951.37,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2023,1029.01,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2023,29.8,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2023,3.47,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,02/04/2023,9.09,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2023,14.51,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2023,9.71,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2023,7.79,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2023,3.23,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2023,11.2,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2023,-2.2,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,03/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2023,127.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,03/04/2023,135.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,03/04/2023,2.25,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,03/04/2023,10.0,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,03/04/2023,3.7506,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,03/04/2023,100.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,03/04/2023,37.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,03/04/2023,72.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,03/04/2023,29.7,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,03/04/2023,1002.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,03/04/2023,943.27,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,03/04/2023,1020.13,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,03/04/2023,39.0,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,03/04/2023,3.23,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,03/04/2023,8.83,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,03/04/2023,15.74,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,03/04/2023,8.07,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,03/04/2023,8.21,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,03/04/2023,3.77,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,03/04/2023,16.2,1
