Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2023,-3.5,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,02/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2023,180.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2023,45.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2023,3.54,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2023,9.33,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,02/04/2023,11.0854,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2023,20.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2023,73.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,02/04/2023,88.2,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2023,2362.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,02/04/2023,949.69,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2023,1028.13,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2023,44.5,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2023,3.27,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2023,14.39,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2023,9.94,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2023,8.94,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2023,3.81,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2023,21.8,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2023,-2.8,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,03/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2023,2.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,03/04/2023,45.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,03/04/2023,2.76,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,03/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,03/04/2023,2.417,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,03/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,03/04/2023,10.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,03/04/2023,54.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,03/04/2023,19.2,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,03/04/2023,954.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,03/04/2023,941.76,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,03/04/2023,1018.89,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,03/04/2023,38.9,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,03/04/2023,-0.43,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,03/04/2023,14.15,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,03/04/2023,11.35,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,03/04/2023,11.3,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,03/04/2023,8.59,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,03/04/2023,13.8,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,04/04/2023,-4.0,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,04/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,04/04/2023,181.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,04/04/2023,45.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,04/04/2023,4.01,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,04/04/2023,6.5,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,04/04/2023,10.7187,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,04/04/2023,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,04/04/2023,28.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,04/04/2023,72.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,04/04/2023,84.6,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,04/04/2023,2333.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,04/04/2023,940.32,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,04/04/2023,1017.67,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,04/04/2023,55.7,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,04/04/2023,4.32,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,04/04/2023,17.56,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,04/04/2023,10.98,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,04/04/2023,9.99,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,04/04/2023,5.12,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,04/04/2023,27.9,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,05/04/2023,-5.2,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,05/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,05/04/2023,1.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,05/04/2023,315.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,05/04/2023,5.22,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,05/04/2023,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,05/04/2023,10.3684,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,05/04/2023,67.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,05/04/2023,25.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,05/04/2023,41.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,05/04/2023,81.5,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,05/04/2023,2242.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,05/04/2023,942.33,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,05/04/2023,1018.78,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,05/04/2023,44.0,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,05/04/2023,0.68,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,05/04/2023,18.29,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,05/04/2023,14.81,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,05/04/2023,13.98,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,05/04/2023,8.07,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,05/04/2023,15.3,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,06/04/2023,-6.4,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,06/04/2023,0.0,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,06/04/2023,359.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,06/04/2023,45.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,06/04/2023,6.41,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,06/04/2023,0.33,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,06/04/2023,11.2356,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,06/04/2023,60.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,06/04/2023,20.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,06/04/2023,38.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,06/04/2023,88.0,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,06/04/2023,2472.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,06/04/2023,941.42,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,06/04/2023,1018.2,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,06/04/2023,54.0,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,06/04/2023,-1.91,1
