Comunidad Autónoma,Año,CO2
ANDALUCÍA,1990,34682
ANDALUCÍA,1991,36479
ANDALUCÍA,1992,39225
ANDALUCÍA,1993,36902
ANDALUCÍA,1994,38089
ANDALUCÍA,1995,40153
ANDALUCÍA,1996,37961
ANDALUCÍA,1997,37923
ANDALUCÍA,1998,44550
ANDALUCÍA,1999,47766
ANDALUCÍA,2000,49058
ANDALUCÍA,2001,49168
ANDALUCÍA,2002,52046
ANDALUCÍA,2003,54905
ANDALUCÍA,2004,57437
ANDALUCÍA,2005,62272
ANDALUCÍA,2006,61736
ANDALUCÍA,2007,65184
ANDALUCÍA,2008,56688
ANDALUCÍA,2009,54004
ANDALUCÍA,2010,51427
ANDALUCÍA,2011,50674
ANDALUCÍA,2012,50119
ANDALUCÍA,2013,47114
ANDALUCÍA,2014,46290
ANDALUCÍA,2015,47946
ANDALUCÍA,2016,45054
ANDALUCÍA,2017,48127
ANDALUCÍA,2018,47501
ANDALUCÍA,2019,41936
ANDALUCÍA,2020,33955
ANDALUCÍA,2021,35416
ANDALUCÍA,2022,38903
ARAGÓN,1990,12625
ARAGÓN,1991,13365
ARAGÓN,1992,14251
ARAGÓN,1993,14057
ARAGÓN,1994,14615
ARAGÓN,1995,14952
ARAGÓN,1996,13733
ARAGÓN,1997,16332
ARAGÓN,1998,13431
ARAGÓN,1999,14513
ARAGÓN,2000,16477
ARAGÓN,2001,15019
ARAGÓN,2002,17314
ARAGÓN,2003,17159
ARAGÓN,2004,17578
ARAGÓN,2005,18399
ARAGÓN,2006,17916
ARAGÓN,2007,18881
ARAGÓN,2008,17829
ARAGÓN,2009,14897
ARAGÓN,2010,13021
ARAGÓN,2011,16065
ARAGÓN,2012,14325
ARAGÓN,2013,12408
ARAGÓN,2014,13587
ARAGÓN,2015,13699
ARAGÓN,2016,12265
ARAGÓN,2017,14027
ARAGÓN,2018,12603
ARAGÓN,2019,11933
ARAGÓN,2020,9826
ARAGÓN,2021,9733
ARAGÓN,2022,10080
ASTURIAS,1990,26261
ASTURIAS,1991,25397
ASTURIAS,1992,26023
ASTURIAS,1993,24734
ASTURIAS,1994,25545
ASTURIAS,1995,27478
ASTURIAS,1996,23139
ASTURIAS,1997,26135
ASTURIAS,1998,26000
ASTURIAS,1999,31124
ASTURIAS,2000,32630
ASTURIAS,2001,29979
ASTURIAS,2002,32898
