Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Peugeot,308,14400,21071,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Seat,ibiza,2350,240000,2013,Diésel,75.0,MONTSERRAT,Manual,08691,Cataluña
Kia,niro,8800,35500,2022,Electro/Gasolina,141.0,VEGA,Automático,28330,Madrid
Nissan,qashqai,7450,24600,2011,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Porsche,macan,35990,129990,2017,Gasolina,340.0,HENARES,Automático,28830,Madrid
Opel,corsa,9990,46000,2023,Gasolina,101.0,ALGINET,Manual,46230,Comunidad Valenciana
Kia,carens,5990,211957,2015,Diésel,116.0,VILABLAREIX,Manual,17180,Cataluña
Opel,corsa,3100,155000,2009,Gasolina,90.0,ALMENDRALEJO,Manual,06200,Extremadura
Ford,mustang,23990,36000,2014,Gasolina,,PALAFRUGELL,Automático,17200,Cataluña
Volvo,xc70,2950,317333,2004,Diésel,163.0,ARGENTONA,Manual,08310,Cataluña
Mg,zs,15270,7338,2024,Gasolina,106.0,MADRID,Manual,28914,Madrid
Audi,a3,3900,240000,2003,Gasolina,150.0,Sabadell,Manual,08205,Cataluña
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,MOSTOLES,Manual,28938,Madrid
Mercedes-benz,cla 200,20390,96051,2018,Diésel,136.0,ZARAGOZA,Manual,50011,Aragón
Peugeot,508,7890,199000,2018,Diésel,120.0,Valdemoro,Manual,28341,Madrid
Cupra,formentor,23690,6554,2024,Gasolina,150.0,PARLA,Manual,28980,Madrid
Bmw,745,51900,46700,2020,Electro/Gasolina,394.0,ARROYOMOLINOS,Automático,28939,Madrid
Hyundai,xg 30,2500,200000,2001,Gasolina,192.0,Parla,Automático,28983,Madrid
Omoda,5,22500,11987,2024,Gasolina,186.0,Rozas,Automático,29232,Andalucía
Peugeot,508,5500,195000,2012,Diésel,140.0,ALMENDRALEJO,Manual,06200,Extremadura
Opel,insignia,4980,212000,2010,Diésel,131.0,HUMANES,Manual,28970,Madrid
Skoda,fabia,4990,89000,2012,Gasolina,60.0,LLOBREGAT,Manual,08820,Cataluña
Ford,focus,15000,10000,2020,Gasolina,250.0,PALENCIA,Manual,34004,Castilla y León
Jeep,compass,12500,134860,2017,Diésel,120.0,MALAGA,Manual,29004,Andalucía
Audi,a5,9999,215000,2012,Diésel,143.0,LLERONA,Manual,08520,Cataluña
Opel,zafira,3500,236000,2009,Diésel,120.0,PINTO,Manual,28320,Madrid
Skoda,fabia,16990,8500,2024,Gasolina,116.0,VALLES,Manual,08450,Cataluña
Mercedes-benz,unknown,4200,270000,2005,Diésel,150.0,ALMENDRALEJO,Automático,06200,Extremadura
Peugeot,206,1890,414323,2002,Diésel,90.0,GUITIRIZ,Manual,27300,Galicia
Seat,leon,6500,134000,2011,Diésel,90.0,GELTRÚ,Manual,08800,Cataluña
Bmw,x3,12998,117840,2015,Diésel,190.0,Benalmadena,Automático,29630,Andalucía
Dacia,sandero,4800,78300,2010,Gasolina,75.0,"ARDOZ,",Manual,28850,Madrid
Mazda,cx-7,6500,129374,2007,Gasolina,258.0,JAVIER,Manual,30730,Región de Murcia
Audi,a7,12999,254000,2014,Diésel,204.0,PLASENCIA,Automático,10600,Extremadura
Hyundai,santa fe,14790,116000,2016,Diésel,201.0,Móstoles,Manual,28933,Madrid
Bmw,118,4990,234854,2007,Diésel,143.0,VILABLAREIX,Manual,17180,Cataluña
