Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Peugeot,308,14400,21071,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Ford,mustang,23990,36000,2014,Gasolina,,PALAFRUGELL,Automático,17200,Cataluña
Nissan,qashqai,7450,24600,2011,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Volvo,xc70,2950,317333,2004,Diésel,163.0,ARGENTONA,Manual,08310,Cataluña
Citroen,c4 x,13590,35712,2023,Gasolina,101.0,MADRID,Manual,28021,Madrid
Mini,cooper cabrio,5999,160000,2006,Gasolina,170.0,HUERVA,Manual,50410,Aragón
Peugeot,208,6990,54091,2017,Gasolina,82.0,Erandio,Manual,48950,País Vasco
Audi,a3,3900,240000,2003,Gasolina,150.0,Sabadell,Manual,08205,Cataluña
Opel,corsa,9990,46000,2023,Gasolina,101.0,ALGINET,Manual,46230,Comunidad Valenciana
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,MOSTOLES,Manual,28938,Madrid
Cupra,formentor,23690,6554,2024,Gasolina,150.0,PARLA,Manual,28980,Madrid
Bmw,745,51900,46700,2020,Electro/Gasolina,394.0,ARROYOMOLINOS,Automático,28939,Madrid
Volkswagen,polo,5600,150000,2010,Diésel,75.0,ALMENDRALEJO,Manual,06200,Extremadura
Hyundai,xg 30,2500,200000,2001,Gasolina,192.0,Parla,Automático,28983,Madrid
Mercedes-benz,cla 200,20390,96051,2018,Diésel,136.0,ZARAGOZA,Manual,50011,Aragón
Ford,focus,15000,10000,2020,Gasolina,250.0,PALENCIA,Manual,34004,Castilla y León
Opel,combo,9500,107000,2019,Diésel,102.0,POZOBLANCO,Manual,14400,Andalucía
Chrysler,300 m,2250,163851,1999,Gasolina,203.0,GALDAKANO,Automático,48960,País Vasco
Audi,a5,9999,215000,2012,Diésel,143.0,LLERONA,Manual,08520,Cataluña
Mercedes-benz,g 500,36900,204000,2001,Gasolina,306.0,LLOBREGAT,Automático,08023,Cataluña
Volvo,xc60,29900,105500,2020,Electro/Gasolina,392.0,ARROYOMOLINOS,Automático,28939,Madrid
Mercedes-benz,e 350,9990,259000,2010,Diésel,231.0,TARRAGONA,Automático,43850,Cataluña
Opel,insignia,4980,212000,2010,Diésel,131.0,HUMANES,Manual,28970,Madrid
Skoda,fabia,4990,89000,2012,Gasolina,60.0,LLOBREGAT,Manual,08820,Cataluña
Skoda,fabia,16990,8500,2024,Gasolina,116.0,VALLES,Manual,08450,Cataluña
Hyundai,i40,7751,177720,2014,Diésel,116.0,ROZAS,Manual,28232,Madrid
Peugeot,2008,8500,99200,2016,Gasolina,110.0,TERRASSA,Manual,08226,Cataluña
Bmw,x2,15490,159965,2019,Diésel,116.0,MOSTOLES,Manual,28938,Madrid
Nissan,qashqai,5950,191000,2009,Diésel,106.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Volkswagen,passat,7900,295175,2014,Diésel,140.0,BENICARLO,Manual,12580,Comunidad Valenciana
Mazda,cx-3,8990,186000,2016,Diésel,105.0,REY,Manual,45280,Castilla-La Mancha
Mercedes-benz,unknown,4200,270000,2005,Diésel,150.0,ALMENDRALEJO,Automático,06200,Extremadura
Ford,c-max,6700,68000,2013,Gasolina,125.0,GELTRÚ,Manual,08800,Cataluña
Citroen,xsara,1490,138000,1999,Gasolina,90.0,Ávila,Manual,05004,Andalucía
Bmw,318,7990,185000,2009,Gasolina,143.0,MADRID,Manual,28013,Madrid
Bmw,x3,12998,117840,2015,Diésel,190.0,Benalmadena,Automático,29630,Andalucía
Bmw,118,4990,234854,2007,Diésel,143.0,VILABLAREIX,Manual,17180,Cataluña
Audi,a7,12999,254000,2014,Diésel,204.0,PLASENCIA,Automático,10600,Extremadura
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Madrid
Land rover,discovery sport,13450,140000,2016,Diésel,179.0,MADRID.,Automático,28970,Madrid
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Madrid
Land rover,discovery sport,13450,140000,2016,Diésel,179.0,MADRID.,Automático,28970,Madrid
Mazda,rx-8,9990,90100,2006,Gasolina,231.0,MADRID,Manual,28970,Madrid
Porsche,cayenne,20999,327000,2015,Diésel,262.0,LLERONA,Automático,08520,Cataluña
Jeep,avenger,17950,46937,2023,Gasolina,101.0,MANISES,Manual,46940,Comunidad Valenciana
Ford,kuga,11490,145144,2016,Diésel,150.0,LEGANES,Manual,28919,Madrid
Bmw,320,36900,21300,2024,Gasolina,184.0,ARROYOMOLINOS,Automático,28939,Madrid
Mini,one,12200,64000,2019,Gasolina,102.0,REYES,Manual,28703,Madrid
Honda,hr-v,17000,55881,2021,Gasolina,131.0,MANISES,Manual,46940,Comunidad Valenciana
Volkswagen,golf,9490,58932,2015,Eléctrico,116.0,REY,Automático,45280,Castilla-La Mancha
Bmw,118,18803,72935,2020,Diésel,150.0,MADRID,Manual,28019,Madrid
Bmw,i8,55990,135500,2015,Electro/Gasolina,362.0,MOSTOLES,Automático,28938,Madrid
Bmw,530,22990,143850,2019,Electro/Gasolina,250.0,FE,Automático,18320,Andalucía
Land rover,range rover evoque,21990,79000,2020,Diésel,150.0,Sestao,Manual,48910,País Vasco
Mercedes-benz,gle 350,47900,135767,2021,Electro/Diésel,320.0,VELEZ,Automático,29740,Andalucía
Cupra,formentor,17000,85000,2021,Gasolina,150.0,MADRID,Manual,28007,Madrid
Audi,a4,19900,172600,2020,Diésel,163.0,ARROYOMOLINOS,Automático,28939,Madrid
Toyota,unknown,12100,54080,2023,Gasolina,72.0,Alicante,Manual,03320,Comunidad Valenciana
Bmw,520,24900,112000,2020,Diésel,190.0,(BARCELONA),Automático,08960,Cataluña
Lexus,ls 600,25900,151035,2012,Electro/Gasolina,445.0,MADRID,Automático,28034,Madrid
Volkswagen,tiguan,21190,98273,2020,Diésel,150.0,Massanassa,Automático,46470,Comunidad Valenciana
Seat,arona,13000,48000,2020,Gasolina,150.0,ASPE,Manual,03680,Comunidad Valenciana
Mitsubishi,outlander,7999,250000,2013,Diésel,150.0,BEGIJAR,Automático,23520,Andalucía
Volkswagen,passat,6500,240000,2012,Diésel,140.0,VEGA,Manual,28330,Madrid
Mazda,cx-7,7900,198000,2010,Diésel,173.0,ALICANTE,Manual,03550,Comunidad Valenciana
Volkswagen,passat,16496,109432,2020,Diésel,150.0,Leganés,Manual,28914,Madrid
Alfa romeo,4c,64900,26900,2016,Gasolina,241.0,MARBELLA,Automático,29660,Andalucía
Renault,megane,6000,148000,2012,Gasolina,116.0,CORDOBA,Manual,14014,Andalucía
Kia,sportage,12400,188600,2018,Diésel,116.0,GANDIA,Manual,46700,Comunidad Valenciana
Opel,corsa,13490,6340,2024,Gasolina,101.0,HARO,Manual,26200,La Rioja
Land rover,range rover evoque,15990,123647,2011,Diésel,190.0,LEGANES,Automático,28919,Madrid
Mercedes-benz,a 180,32990,8126,2024,Diésel,116.0,MADRID,Automático,28022,Madrid
Fiat,panda,9400,47000,2015,Diésel,75.0,BARCELONA,Manual,08028,Cataluña
Volkswagen,golf,10499,134833,2013,Diésel,110.0,SEVILLA,Manual,41001,Andalucía
Mini,one,5950,162500,2007,Gasolina,,CORUÑA,Manual,15008,Galicia
Dacia,sandero,14900,12700,2024,Gasolina,91.0,Pinto,Manual,28320,Madrid
Skoda,superb,3800,450000,2012,Diésel,105.0,ASTORGA,Manual,24700,Castilla y León
Citroen,c3,7800,107000,2017,Gasolina,82.0,Manises,Manual,46940,Comunidad Valenciana
Mazda,cx-5,23846,36459,2022,Gasolina,165.0,LEGANES,Automático,28914,Madrid
Opel,corsa,14150,1,2025,Gasolina,101.0,MERIDA,Manual,06800,Extremadura
Bmw,320,6999,191000,2005,Gasolina,170.0,CRUZ,Automático,30400,Región de Murcia
Porsche,panamera,28000,155000,2014,Gasolina,420.0,MADRID,Automático,28031,Madrid
Bmw,x3,11990,171213,2011,Diésel,184.0,VILABLAREIX,Automático,17180,Cataluña
Peugeot,rifter,10990,178000,2019,Diésel,99.0,MAR,Manual,08349,Cataluña
Renault,kadjar,8990,186270,2015,Diésel,110.0,VILABLAREIX,Manual,17180,Cataluña
Citroen,c4 cactus,8490,86711,2018,Gasolina,110.0,MADRID,Automático,28970,Madrid
Volvo,s60,31600,67000,2021,Electro/Gasolina,405.0,REYES,Automático,28703,Madrid
Citroen,c5 aircross,11900,45000,2020,Gasolina,131.0,Ourense,Manual,32915,Galicia
Mg,tf,6900,110000,2003,Gasolina,135.0,BERRIOZAR,Manual,31013,Navarra
Bmw,x5,7800,114000,2003,Diésel,218.0,Palafolls,Automático,08389,Cataluña
Citroen,c5,5700,211000,2012,Diésel,140.0,BERRIOPLANO/BERRIOBEITI,Manual,31195,Navarra
Audi,a5,16900,148085,2016,Gasolina,177.0,TERRASSA,Manual,08226,Cataluña
Toyota,rav 4,13800,203600,2014,Diésel,124.0,BADAJOZ,Manual,06420,Extremadura
Kia,sportage,18990,59899,2022,Gasolina,152.0,MADRID,Manual,28002,Madrid
Bmw,x3,16390,175000,2016,Diésel,150.0,HENARES,Manual,28802,Madrid
Audi,a4,7499,213977,2009,Gasolina,160.0,AGOST,Manual,03698,Comunidad Valenciana
