Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Peugeot,308,14400,21071,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Nissan,qashqai,7450,24600,2011,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Kia,carens,5990,211957,2015,Diésel,116.0,VILABLAREIX,Manual,17180,Cataluña
Ford,mustang,23990,36000,2014,Gasolina,,PALAFRUGELL,Automático,17200,Cataluña
Renault,clio,1500,138000,2005,Gasolina,60.0,MÁLAGA,Manual,29004,Andalucía
Opel,corsa,9990,46000,2023,Gasolina,101.0,ALGINET,Manual,46230,Comunidad Valenciana
Volvo,xc70,2950,317333,2004,Diésel,163.0,ARGENTONA,Manual,08310,Cataluña
Mini,cooper cabrio,5999,160000,2006,Gasolina,170.0,HUERVA,Manual,50410,Aragón
Bmw,745,51900,46700,2020,Electro/Gasolina,394.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Audi,a3,3900,240000,2003,Gasolina,150.0,Sabadell,Manual,08205,Cataluña
Peugeot,208,6990,54091,2017,Gasolina,82.0,Erandio,Manual,48950,País Vasco
Hyundai,xg 30,2500,200000,2001,Gasolina,192.0,Parla,Automático,28983,Comunidad de Madrid
Peugeot,508,7890,199000,2018,Diésel,120.0,Valdemoro,Manual,28341,Comunidad de Madrid
Cupra,formentor,23690,6554,2024,Gasolina,150.0,PARLA,Manual,28980,Comunidad de Madrid
Kia,sportage,22995,20000,2024,Diésel,116.0,ZARAGOZA,Manual,50014,Aragón
Volkswagen,passat,10990,199000,2016,Diésel,120.0,FUENLABRADA,Manual,28970,Comunidad de Madrid
Opel,zafira,3500,236000,2009,Diésel,120.0,PINTO,Manual,28320,Comunidad de Madrid
Chrysler,300 m,2250,163851,1999,Gasolina,203.0,GALDAKANO,Automático,48960,País Vasco
Mercedes-benz,g 500,36900,204000,2001,Gasolina,306.0,LLOBREGAT,Automático,08023,Cataluña
Volvo,xc60,29900,105500,2020,Electro/Gasolina,392.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Comunidad de Madrid
Mercedes-benz,e 350,9990,259000,2010,Diésel,231.0,TARRAGONA,Automático,43850,Cataluña
Opel,insignia,4980,212000,2010,Diésel,131.0,HUMANES,Manual,28970,Comunidad de Madrid
Peugeot,508,5500,195000,2012,Diésel,140.0,ALMENDRALEJO,Manual,06200,Extremadura
Skoda,fabia,4990,89000,2012,Gasolina,60.0,LLOBREGAT,Manual,,Desconocida
Audi,a5,9999,215000,2012,Diésel,143.0,LLERONA,Manual,,Desconocida
Ford,focus,15000,10000,2020,Gasolina,250.0,PALENCIA,Manual,34004,Castilla y León
Opel,mokka,16990,24951,2023,Gasolina,136.0,HARO,Manual,26200,La Rioja
Citroen,c4 x,13590,35712,2023,Gasolina,101.0,MADRID,Manual,28021,Comunidad de Madrid
Skoda,fabia,16990,8500,2024,Gasolina,116.0,VALLES,Manual,08450,Cataluña
Ford,focus,12900,61000,2018,Gasolina,125.0,BARCELONA,Manual,08028,Cataluña
Mazda,5,4990,169000,2007,Diésel,143.0,TARRAGONA,Manual,43850,Cataluña
Ford,mustang,143800,27305,2022,Gasolina,771.0,SEVILLA,Automático,41013,Andalucía
Abarth,punto evo,12000,130000,2012,Gasolina,163.0,Terrasa,Manual,,Desconocida
Bmw,640,26990,113437,2014,Diésel,313.0,REY,Automático,28500,Comunidad de Madrid
Audi,a7,12999,254000,2014,Diésel,204.0,PLASENCIA,Automático,10600,Extremadura
Fiat,panda,9400,47000,2015,Diésel,75.0,BARCELONA,Manual,08028,Cataluña
Hyundai,santa fe,14790,116000,2016,Diésel,201.0,Móstoles,Manual,28933,Comunidad de Madrid
Peugeot,2008,13500,108505,2022,Diésel,131.0,Rioja,Automático,26006,La Rioja
Mg,zs,13490,28700,2022,Gasolina,177.0,Villalba,Manual,,Desconocida
Land rover,discovery sport,13450,140000,2016,Diésel,179.0,MADRID.,Automático,28970,Comunidad de Madrid
Nissan,qashqai,5950,191000,2009,Diésel,106.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Nissan,micra,6990,178126,2019,Gasolina,90.0,REY,Manual,45280,Castilla-La Mancha
Citroen,c5,3200,165000,2007,Diésel,109.0,CORDOBA,Manual,14014,Andalucía
Jaguar,f-pace,16990,149000,2018,Diésel,179.0,FUENLABRADA,Automático,28947,Comunidad de Madrid
Cupra,leon,23850,7554,2024,Gasolina,150.0,Manises,Automático,46940,Comunidad Valenciana
Bmw,320,36900,21300,2024,Gasolina,184.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Hyundai,i10,9090,90853,2021,Gasolina,67.0,MADRID,Manual,28914,Comunidad de Madrid
Mini,one,5950,162500,2007,Gasolina,,CORUÑA,Manual,15008,Galicia
Volkswagen,passat,6500,240000,2012,Diésel,140.0,VEGA,Manual,28330,Comunidad de Madrid
Kia,sportage,23900,16000,2023,Gasolina,152.0,GANDIA,Manual,46700,Comunidad Valenciana
Porsche,cayenne,20999,327000,2015,Diésel,262.0,LLERONA,Automático,,Desconocida
Kia,sorento,7490,220000,2011,Diésel,150.0,ORDES,Manual,15680,Galicia
Bmw,i8,55990,135500,2015,Electro/Gasolina,362.0,MOSTOLES,Automático,28938,Comunidad de Madrid
Land rover,range rover evoque,21990,79000,2020,Diésel,150.0,Sestao,Manual,48910,País Vasco
Fiat,tipo,11990,38000,2023,Gasolina,99.0,ALGINET,Manual,46230,Comunidad Valenciana
Peugeot,2008,8500,99200,2016,Gasolina,110.0,TERRASSA,Manual,08226,Cataluña
Opel,astra,10990,92000,2021,Diésel,105.0,Sestao,Manual,48910,País Vasco
Mercedes-benz,gle 350,47900,135767,2021,Electro/Diésel,320.0,VELEZ,Automático,29740,Andalucía
Citroen,c4 cactus,8490,86711,2018,Gasolina,110.0,MADRID,Automático,28970,Comunidad de Madrid
Citroen,c4 cactus,8490,86711,2018,Gasolina,110.0,MADRID,Automático,28970,Comunidad de Madrid
Ford,kuga,11790,111015,2018,Diésel,140.0,ÁVILA,Manual,05004,Andalucía
Volkswagen,golf,13499,179000,2014,Diésel,184.0,PLASENCIA,Manual,10600,Extremadura
Mitsubishi,outlander,7999,250000,2013,Diésel,150.0,BEGIJAR,Automático,23520,Andalucía
